id,story_group_id,story_ht,story_dead_load,story_live_load,p_delta_dead_load,p_delta_live_load,seismic_wt,bay_length_x_1,bay_length_x_2,bay_length_x_3,bay_length_z,story_start_x,story_start_z,y_start,bay_coor_x_1,bay_coor_x_2,bay_coor_x_3,bay_coor_x_4,bay_coor_z_1,bay_coor_z_2,max_disp_x,ave_disp_x,residual_disp_x,max_accel_x,max_drift_x,max_reaction_x,mode_shape_x
1,1,180,630000,234000,525000,195000,684000,240,240,240,0,0,0,0,0,240,480,720,0,0,1.05899,1.054005,0.3804600501998,0.257749449481871,0.00588327777777778,492518.042,0.134359050864492
2,2,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,180,0,240,480,720,0,0,2.3036,2.2999,0.767619282717283,0.222519844559586,0.00820051282051282,0,0.282557043923428
3,3,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,336,0,240,480,720,0,0,3.77459,3.77069,1.1781331008991,0.209462735751297,0.00944326923076923,0,0.427385794374912
4,4,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,492,0,240,480,720,0,0,5.19063,5.1855575,1.54359019305694,0.241702139896375,0.00908365384615384,0,0.564708145542487
5,5,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,648,0,240,480,720,0,0,6.38599,6.3829275,1.82096268731269,0.250974886010365,0.00770128205128205,0,0.709833697137204
6,6,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,804,0,240,480,720,0,0,7.22937,7.225225,1.99648545204795,0.216682694300517,0.00612737179487179,0,0.843449174767192
7,7,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,960,0,240,480,720,0,0,7.68158,7.6798575,2.07175228771229,0.262993000000001,0.00371769230769231,0,0.940702586409962
8,8,156,504000,72000,420000,60000,531000,240,240,240,0,0,0,1116,0,240,480,720,0,0,7.90783,7.9037275,2.10019522477523,0.318455111398967,0.00197076923076923,0,1
