archetype_id,framing_system,num_stories,ie,design_drift,hazard_level,period,sa,sa_1,pga,sa_dbe,sa_dbe_geomean,sa_norm,sa_norm_geomean,p_redtag,p_col,p_residual,loss_ratio_mean,loss_ratio_fractile_90,loss_ratio_median,reoccupancy_prob_loss,reoccupancy_days_mean,reoccupancy_days_fractile_90,reoccupancy_days_median,function_prob_loss,function_days_mean,function_days_fractile_90,function_days_median,full_repair_days_mean,full_repair_days_fractile_90,full_repair_days_median,pRO_rep,pRO_str,pRO_nsd,pRO_nsa,pFR_rep,pFR_str,pFR_nsd,pFR_nsa,p_long_lead,p_inspection,p_financing,p_contractor_mob,p_eng_mob,p_design,p_permit_rapid,p_permit_full
F4-D100,C1a,4,1,0.01,108,0.635201078,0.279237752,0.169274865,0.221743847,0.94458278,0.769805886,0.295620201,0.362737876,0,0,0,0.005442252,0.014657628,0.002236635,0.2646,5.311533333,8,0,0.6008,120.1242833,309,92.5,158,347,129,0,0,0.0446,0.2296,0,0,0.0446,0.5832,0.5488,0,0.0546,0.9386,0.0386,0.0386,0.9386,0.0386
F4-D100,C1a,4,1,0.01,475,0.635201078,0.665885251,0.419034108,0.489513393,0.94458278,0.769805886,0.704951715,0.865004105,0.033,0,0.0002,0.063145495,0.174264935,0.028990836,0.7514,74.70669444,188.5,48,0.9084,201.3583262,383,189,247,429,232,0.0002,0.0328,0.5932,0.4086,0.0002,0.1028,0.5932,0.8002,0.7992,0.0704,0.601,0.9972,0.4942,0.4942,0.9972,0.4942
F4-D100,C1a,4,1,0.01,975,0.635201078,0.947284025,0.603135526,0.672095046,0.94458278,0.769805886,1.002859724,1.230549211,0.2056,0,0.0406,0.182430599,0.431556279,0.102987605,0.8942,158.3209456,309.5,154,0.9778,261.1293871,455.3333333,249,305,473,292,0.0406,0.165,0.7782,0.5342,0.0406,0.3156,0.7782,0.8446,0.867,0.2526,0.796,0.9584,0.7122,0.7122,0.9584,0.7122
F4-D100,C1a,4,1,0.01,2475,0.635201078,1.406269342,0.909467399,0.949423793,0.94458278,0.769805886,1.488773003,1.826784347,0.4532,0,0.2188,0.390114857,1,0.26553277,0.9696,302.3339702,473,289,0.9958,394.2561984,552,405,418,572,435,0.2188,0.2344,0.7242,0.5678,0.2188,0.4092,0.7242,0.7514,0.7618,0.356,0.735,0.781,0.6888,0.6888,0.781,0.6888
F4-S150-D100,C1a,4,1.5,0.01,108,0.635201078,0.279237752,0.169274865,0.221743847,0.94458278,0.769805886,0.295620201,0.362737876,0,0,0,0.006723933,0.017346677,0.003061045,0.3468,6.4845,9,0,0.6806,139.8162767,333,123,178,368,154,0,0,0.0516,0.3152,0,0,0.0516,0.6666,0.6272,0,0.0764,0.963,0.0498,0.0498,0.963,0.0498
F4-S150-D100,C1a,4,1.5,0.01,475,0.635201078,0.665885251,0.419034108,0.489513393,0.94458278,0.769805886,0.704951715,0.865004105,0.0092,0,0,0.047803281,0.1219848,0.025819519,0.7642,63.44814094,167,22,0.9064,205.27913,390.0416667,191.1,251,434,235,0,0.0092,0.5614,0.4958,0,0.0494,0.5614,0.8294,0.8218,0.024,0.5772,0.9984,0.457,0.457,0.9984,0.457
F4-S150-D100,C1a,4,1.5,0.01,975,0.635201078,0.947284025,0.603135526,0.672095046,0.94458278,0.769805886,1.002859724,1.230549211,0.1064,0,0.0114,0.136785079,0.338190857,0.078837076,0.9056,135.943919,263,136,0.9734,256.3779333,426,243.8333333,302,473,289,0.0114,0.095,0.797,0.6284,0.0114,0.2332,0.797,0.8914,0.9056,0.1742,0.8242,0.9878,0.7144,0.7144,0.9878,0.7144
F4-S150-D100,C1a,4,1.5,0.01,2475,0.635201078,1.406269342,0.909467399,0.949423793,0.94458278,0.769805886,1.488773003,1.826784347,0.387,0,0.1524,0.356010683,1,0.253800547,0.9756,289.2425937,473,277,0.997,399.1878412,570,399.5,422,589,429,0.1524,0.2346,0.7818,0.692,0.1524,0.4158,0.7818,0.8262,0.8292,0.348,0.8044,0.8476,0.736,0.736,0.8476,0.736
F8-S125,C1a,8,1.25,0.02,108,1.396451423,0.131075685,0.169274865,0.221743847,0.429660488,0.330508068,0.305068044,0.396588458,0.0002,0,0,0.007198057,0.019627437,0.002703379,0.4658,30.60763355,115.9583333,0,0.6812,134.5330888,326,114.8333333,175,366,147,0,0.0002,0.329,0.2332,0,0.002,0.329,0.5674,0.5632,0.0008,0.096,0.995,0.2586,0.2586,0.995,0.2586
F8-S125,C1a,8,1.25,0.02,475,1.396451423,0.325734683,0.419034108,0.489513393,0.429660488,0.330508068,0.758121102,0.985557432,0.067,0,0,0.068439491,0.166357275,0.041278803,0.91,124.1110853,219.5,126,0.9606,235.2099483,421,216,264,446,247,0,0.067,0.873,0.4288,0,0.2008,0.873,0.7936,0.811,0.1342,0.6988,1,0.8092,0.8092,1,0.8092
F8-S125,C1a,8,1.25,0.02,975,1.396451423,0.46861134,0.603135526,0.672095046,0.429660488,0.330508068,1.090654955,1.417851442,0.2532,0,0.0248,0.169023874,0.393998653,0.101947224,0.9674,201.0527875,343.5,186,0.9946,307.8152727,502,295,326,511,313,0.0248,0.2284,0.9242,0.5894,0.0248,0.4374,0.9242,0.8686,0.8926,0.3448,0.854,0.9752,0.8878,0.8878,0.9752,0.8878
F8-S125,C1a,8,1.25,0.02,2475,1.396451423,0.706041109,0.909467399,0.949423793,0.429660488,0.330508068,1.643253519,2.136229575,0.4574,0,0.1132,0.30302052,1,0.210792931,0.9976,332.9286524,584,298.3380952,0.9996,438.0373743,600,428,446,602,435,0.1132,0.3442,0.8812,0.685,0.1132,0.601,0.8812,0.8518,0.8658,0.5012,0.8688,0.8868,0.8734,0.8734,0.8868,0.8734
F8-S150,C1a,8,1.5,0.02,108,1.389372993,0.131757711,0.169274865,0.221743847,0.431849477,0.332191905,0.305101009,0.396631311,0,0,0,0.007259061,0.019901682,0.002762593,0.4652,30.04309651,114.25,0,0.6888,137.8908589,328,120.1666667,178,366,152,0,0,0.3246,0.2458,0,0.0016,0.3246,0.5846,0.5792,0.0004,0.099,0.9956,0.2562,0.2562,0.9956,0.2562
F8-S150,C1a,8,1.5,0.02,475,1.389372993,0.327400495,0.419034108,0.489513393,0.431849477,0.332191905,0.758135675,0.985576377,0.0464,0,0,0.060276968,0.145784347,0.037883967,0.9104,118.8210231,209.6190476,120,0.958,234.5257244,420,216,264,448,247,0,0.0464,0.8754,0.4376,0,0.1706,0.8754,0.8026,0.8124,0.1054,0.6892,1,0.8078,0.8078,1,0.8078
F8-S150,C1a,8,1.5,0.02,975,1.389372993,0.471013198,0.603135526,0.672095046,0.431849477,0.332191905,1.090688362,1.417894871,0.1994,0,0.0254,0.144829092,0.311035746,0.092423995,0.9732,190.3973483,308,178.7785714,0.9932,301.5605968,499,289,321,508,307,0.0254,0.1742,0.9372,0.606,0.0254,0.3948,0.9372,0.867,0.887,0.291,0.8548,0.9746,0.8998,0.8998,0.9746,0.8998
F8-S150,C1a,8,1.5,0.02,2475,1.389372993,0.709673178,0.909467399,0.949423793,0.431849477,0.332191905,1.643334578,2.136334951,0.4848,0,0.1548,0.329032015,1,0.221440661,0.9984,341.6305009,584,302.95,1,445.6262628,596,440,453,599,446,0.1548,0.33,0.8422,0.6708,0.1548,0.5924,0.8422,0.8156,0.8264,0.4886,0.8338,0.8452,0.8362,0.8362,0.8452,0.8362
F8-D150,C1a,8,1,0.015,108,1.644624223,0.107163556,0.169274865,0.221743847,0.364824981,0.2806346,0.293739633,0.381861523,0.0004,0,0,0.008304749,0.02118572,0.003451454,0.5202,39.6372154,129.5,4,0.6978,130.5869933,318,108,171,359,140,0,0.0004,0.4292,0.1848,0,0.003,0.4292,0.5288,0.5254,0.0008,0.1102,0.998,0.336,0.336,0.998,0.336
F8-D150,C1a,8,1,0.015,475,1.644624223,0.267330605,0.419034108,0.489513393,0.364824981,0.2806346,0.732763981,0.952593175,0.1232,0,0.0054,0.090182962,0.219002941,0.054635525,0.9294,143.2258424,242,141,0.9672,238.2109406,427.5,219.7738095,265,450,248,0.0054,0.1178,0.9114,0.3696,0.0054,0.2808,0.9114,0.7624,0.794,0.2044,0.758,0.9946,0.8624,0.8624,0.9946,0.8624
F8-D150,C1a,8,1,0.015,975,1.644624223,0.384401165,0.603135526,0.672095046,0.364824981,0.2806346,1.053659113,1.369756846,0.323,0,0.0866,0.21359698,0.450232841,0.118625141,0.9768,227.2761904,421,196.7916667,0.995,317.7164953,584,297.3833333,336,584,317,0.0866,0.2364,0.8814,0.4876,0.0866,0.4378,0.8814,0.7846,0.8188,0.3514,0.8148,0.9134,0.8522,0.8522,0.9134,0.8522
F8-D150,C1a,8,1,0.015,2475,1.644624223,0.578699223,0.909467399,0.949423793,0.364824981,0.2806346,1.586237933,2.062109313,0.4792,0,0.1798,0.336445283,1,0.210166778,0.999,345.0038968,584,302,0.9998,438.4767979,584,431,446,586,437,0.1798,0.2994,0.8184,0.5684,0.1798,0.5712,0.8184,0.7712,0.7948,0.4608,0.8124,0.8202,0.8136,0.8136,0.8202,0.8136
F8-D100,C1a,8,1,0.01,108,1.301124339,0.14026071,0.169274865,0.221743847,0.461139633,0.354722795,0.30416104,0.395409352,0,0,0,0.006483316,0.018868197,0.002186019,0.4144,23.70341714,103.5,0,0.6586,136.9671133,331,117,178,369,151,0,0,0.2462,0.2546,0,0.0002,0.2462,0.5862,0.5796,0,0.087,0.9882,0.1986,0.1986,0.9882,0.1986
