id,story_group_id,story_ht,story_dead_load,story_live_load,p_delta_dead_load,p_delta_live_load,seismic_wt,bay_length_x_1,bay_length_x_2,bay_length_x_3,bay_length_z,story_start_x,story_start_z,y_start,bay_coor_x_1,bay_coor_x_2,bay_coor_x_3,bay_coor_x_4,bay_coor_z_1,bay_coor_z_2,max_disp_x,ave_disp_x,residual_disp_x,max_accel_x,max_drift_x,max_reaction_x,mode_shape_x
1,1,180,630000,234000,525000,195000,684000,240,240,240,0,0,0,0,0,240,480,720,0,0,5.73805,5.7361075,2.35140125374625,0.431197430051817,0.0318780555555556,493265.6902,0.207441539985358
2,2,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,180,0,240,480,720,0,0,11.1474,11.13975,4.38894085914086,0.663881290155443,0.034695,0,0.470249450928039
3,3,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,336,0,240,480,720,0,0,16.6003,16.5946,6.52638637612388,0.649199813471513,0.0374482692307692,0,0.771758322208346
4,4,156,504000,72000,420000,60000,531000,240,240,240,0,0,0,492,0,240,480,720,0,0,19.1654,19.073825,7.45554465534466,0.791215595854924,0.0194679487179487,0,1
